# time (ps)       depth (nm)       Te (K)      Tl(K)
  0.1000000000E-04     0.9245283019E+02     0.3000000314E+03     0.3000000000E+03
  0.1000000000E-04     0.9308176101E+02     0.3000000313E+03     0.3000000000E+03
  0.1000000000E-04     0.9371069182E+02     0.3000000311E+03     0.3000000000E+03
  0.1000000000E-04     0.9433962264E+02     0.3000000310E+03     0.3000000000E+03
  0.1000000000E-04     0.9496855346E+02     0.3000000308E+03     0.3000000000E+03
  0.1000000000E-04     0.9559748428E+02     0.3000000306E+03     0.3000000000E+03
  0.1000000000E-04     0.9622641509E+02     0.3000000305E+03     0.3000000000E+03
  0.1000000000E-04     0.9685534591E+02     0.3000000303E+03     0.3000000000E+03
  0.1000000000E-04     0.9748427673E+02     0.3000000302E+03     0.3000000000E+03
  0.1000000000E-04     0.9811320755E+02     0.3000000300E+03     0.3000000000E+03
  0.1000000000E-04     0.9874213836E+02     0.3000000299E+03     0.3000000000E+03
  0.1000000000E-04     0.9937106918E+02     0.3000000297E+03     0.3000000000E+03
  0.1000000000E-04     0.1000000000E+03     0.3000000296E+03     0.3000000000E+03

  0.1000000000E+00     0.0000000000E+00     0.3160322817E+03     0.3000028304E+03
  0.1000000000E+00     0.6289308176E+00     0.3160315678E+03     0.3000028302E+03
  0.1000000000E+00     0.1257861635E+01     0.3160281093E+03     0.3000028296E+03
  0.1000000000E+00     0.1886792453E+01     0.3160220138E+03     0.3000028284E+03
  0.1000000000E+00     0.2515723270E+01     0.3160133850E+03     0.3000028268E+03
  0.1000000000E+00     0.3144654088E+01     0.3160023231E+03     0.3000028248E+03
  0.1000000000E+00     0.3773584906E+01     0.3159889249E+03     0.3000028223E+03
  0.1000000000E+00     0.4402515723E+01     0.3159732836E+03     0.3000028194E+03
  0.1000000000E+00     0.5031446541E+01     0.3159554897E+03     0.3000028161E+03
  0.1000000000E+00     0.5660377358E+01     0.3159356300E+03     0.3000028124E+03
  0.1000000000E+00     0.6289308176E+01     0.3159137887E+03     0.3000028084E+03
  0.1000000000E+00     0.6918238994E+01     0.3158900469E+03     0.3000028040E+03
  0.1000000000E+00     0.7547169811E+01     0.3158644830E+03     0.3000027993E+03
  0.1000000000E+00     0.8176100629E+01     0.3158371728E+03     0.3000027942E+03
  0.1000000000E+00     0.8805031447E+01     0.3158081892E+03     0.3000027889E+03
  0.1000000000E+00     0.9433962264E+01     0.3157776029E+03     0.3000027832E+03
  0.1000000000E+00     0.1006289308E+02     0.3157454819E+03     0.3000027773E+03
  0.1000000000E+00     0.1069182390E+02     0.3157118920E+03     0.3000027711E+03
  0.1000000000E+00     0.1132075472E+02     0.3156768968E+03     0.3000027646E+03
  0.1000000000E+00     0.1194968553E+02     0.3156405575E+03     0.3000027580E+03
  0.1000000000E+00     0.1257861635E+02     0.3156029333E+03     0.3000027510E+03
  0.1000000000E+00     0.1320754717E+02     0.3155640815E+03     0.3000027439E+03
  0.1000000000E+00     0.1383647799E+02     0.3155240572E+03     0.3000027365E+03
